agent_ID,parameters_ID,stockout,CV,order_cost,mean_gap,time
1,1,10.0,0.4,80,0.026810184163813644,19.360638066132864
2,1,10.0,0.4,80,0.013998929166718794,19.27196559906006
3,1,10.0,0.4,80,0.007508835130810075,19.097579383850096
4,1,10.0,0.4,80,0.009959670058378603,19.07920431693395
5,1,10.0,0.4,80,0.02395172196820266,19.116456047693887
6,1,10.0,0.4,80,0.023992535652458877,19.125294816493987
7,1,10.0,0.4,80,0.012346926873686988,19.113569418589275
8,1,10.0,0.4,80,0.010055068916279563,19.071668163935342
9,1,10.0,0.4,80,0.025030654797225854,19.073047482967375
10,1,10.0,0.4,80,0.007909204826974192,19.145484566688538
11,1,10.0,0.4,80,0.020320970514198792,19.13177860180537
12,1,10.0,0.4,80,0.016511585332155423,19.130035150051118
13,1,10.0,0.4,80,0.01450072466743965,19.115880334377287
14,1,10.0,0.4,80,0.019578536077739458,19.161917380491893
15,1,10.0,0.4,80,0.010183876178346492,19.13941408395767
16,1,10.0,0.4,80,0.01250735100416989,19.171361231803893
17,1,10.0,0.4,80,0.03207562886646679,19.146885148684184
18,1,10.0,0.4,80,0.009716109558970077,19.177772184213
19,1,10.0,0.4,80,0.009799356268130862,19.16891958316167
20,1,10.0,0.4,80,0.0193660499092938,19.139448583126068
21,2,25.0,0.4,80,0.013080432574558678,19.168456065654755
22,2,25.0,0.4,80,0.011488491078183049,19.16646260023117
23,2,25.0,0.4,80,0.007614854779527857,19.203812483946482
24,2,25.0,0.4,80,0.009501531482020598,19.18541225194931
25,2,25.0,0.4,80,0.011057314728204063,19.182212563355765
26,2,25.0,0.4,80,0.010600391391602166,19.164870536327363
27,2,25.0,0.4,80,4.848258779531639,18.889583532015482
28,2,25.0,0.4,80,0.02760655499379695,19.13642570177714
29,2,25.0,0.4,80,0.029833326745711736,19.167563982804616
30,2,25.0,0.4,80,0.061654629418933356,19.213436384995777
31,2,25.0,0.4,80,0.008727791508530803,19.205615452925365
32,2,25.0,0.4,80,0.00911553867817633,19.193100198109946
33,2,25.0,0.4,80,0.014679751978323982,19.155052785078684
34,2,25.0,0.4,80,0.011582003261057284,19.16070946852366
35,2,25.0,0.4,80,0.05748193298748041,19.160214217503867
36,2,25.0,0.4,80,0.025198723266680077,19.181576800346374
37,2,25.0,0.4,80,0.025891054573574178,19.156033384799958
38,2,25.0,0.4,80,0.009260439815485267,19.154709800084433
39,2,25.0,0.4,80,0.022340175437486034,19.17768546740214
40,2,25.0,0.4,80,0.010976212855570443,19.13660201629003
41,3,50.0,0.4,80,0.010900641186493613,19.198826865355173
42,3,50.0,0.4,80,0.01504177466996974,19.215864884853364
43,3,50.0,0.4,80,0.02998761482427404,19.18321340084076
44,3,50.0,0.4,80,0.02962335835702639,19.21613403558731
45,3,50.0,0.4,80,0.010193713113256382,19.189862616856892
46,3,50.0,0.4,80,0.01524871546189197,19.183928000926972
47,3,50.0,0.4,80,0.009019008265885508,19.185750333468118
48,3,50.0,0.4,80,0.03344006591514827,19.212596801916757
49,3,50.0,0.4,80,0.011007732633229341,19.22101141611735
50,3,50.0,0.4,80,0.035861425765045044,19.16262115240097
51,3,50.0,0.4,80,0.01681090440963739,19.156104548772177
52,3,50.0,0.4,80,0.019216605209987678,19.155493334929147
53,3,50.0,0.4,80,0.011087050636243958,19.16594031651815
54,3,50.0,0.4,80,0.014177417837942866,19.166103235880534
55,3,50.0,0.4,80,0.01727130779119403,19.145378748575848
56,3,50.0,0.4,80,0.028619712989738286,19.1267942349116
57,3,50.0,0.4,80,0.03200139703963714,19.16832891702652
58,3,50.0,0.4,80,0.016643113324753742,19.116537964344026
59,3,50.0,0.4,80,0.019157190371488716,19.126790165901184
60,3,50.0,0.4,80,0.03054678149079698,19.11731653213501
61,4,100.0,0.4,80,0.012752347078889965,19.191220649083455
62,4,100.0,0.4,80,0.018340429606522424,19.204698983828226
63,4,100.0,0.4,80,0.033782078572841795,19.153250364462533
64,4,100.0,0.4,80,0.0347065609418459,19.173139417171477
65,4,100.0,0.4,80,20.932034024063743,18.932338015238443
66,4,100.0,0.4,80,0.01594075624981422,19.215914932886758
67,4,100.0,0.4,80,0.02493567395073623,19.229642597834268
68,4,100.0,0.4,80,0.024909838994352878,19.25029689868291
69,4,100.0,0.4,80,0.010644021728672622,19.198370297749836
70,4,100.0,0.4,80,0.01361050242324967,19.224977533022564
71,4,100.0,0.4,80,0.01887892412155804,19.175704864660897
72,4,100.0,0.4,80,0.010748288354133242,19.200472132364908
73,4,100.0,0.4,80,0.015333717249431644,19.178678035736084
74,4,100.0,0.4,80,0.021449250666522347,19.182234084606172
75,4,100.0,0.4,80,0.016763225321405464,19.18708639939626
76,4,100.0,0.4,80,0.028423723276829557,19.172369782129923
77,4,100.0,0.4,80,0.014573580985976638,19.17214588324229
78,4,100.0,0.4,80,0.012998503388359532,19.171802667776742
79,4,100.0,0.4,80,0.06156072421524931,19.112322600682578
80,4,100.0,0.4,80,0.04571478981075435,19.185429616769156
81,5,10.0,0.4,360,0.005401576688627347,19.200538531939188
82,5,10.0,0.4,360,0.0015948721168989148,19.216709113121034
83,5,10.0,0.4,360,0.013539901977252723,19.1898565808932
84,5,10.0,0.4,360,0.010131813800948044,19.19818111658096
85,5,10.0,0.4,360,0.01691244679509935,19.173823336760204
86,5,10.0,0.4,360,0.007441685145226069,19.178929567337036
87,5,10.0,0.4,360,0.0037317520785902798,19.15176281531652
88,5,10.0,0.4,360,0.010572578586992027,19.162514468034107
89,5,10.0,0.4,360,0.006264993565832342,19.103123199939727
90,5,10.0,0.4,360,0.0035429213404329337,19.112375350793204
91,5,10.0,0.4,360,0.19090048797006495,18.862591365973156
92,5,10.0,0.4,360,0.011706579813883452,19.16607908010483
93,5,10.0,0.4,360,0.003080887098879622,19.119767248630524
94,5,10.0,0.4,360,0.004457946360035213,19.122148982683818
95,5,10.0,0.4,360,0.012502300104217904,19.116914816697438
96,5,10.0,0.4,360,0.0058424448596292354,19.120137333869934
97,5,10.0,0.4,360,0.018200772609493043,19.092857547601064
98,5,10.0,0.4,360,0.012505920635613862,19.123320384820303
99,5,10.0,0.4,360,0.006312728077929111,19.09450579881668
100,5,10.0,0.4,360,0.19077086396600929,18.871878532568612
101,6,25.0,0.4,360,0.02796923544124402,19.169336366653443
102,6,25.0,0.4,360,0.02581352601253414,19.191553199291228
103,6,25.0,0.4,360,0.007244502360738534,19.181648218631743
104,6,25.0,0.4,360,0.024198765973613083,19.14057366847992
105,6,25.0,0.4,360,0.020813319996341523,19.062969299157462
106,6,25.0,0.4,360,0.0289541212330587,19.093024031321207
107,6,25.0,0.4,360,0.009128810335753048,19.15696713527044
108,6,25.0,0.4,360,0.008927798828732451,19.17008090019226
109,6,25.0,0.4,360,0.011634960854414959,19.176860765616098
110,6,25.0,0.4,360,0.011858374332963191,19.13949854771296
111,6,25.0,0.4,360,0.016235657110165273,19.20720201730728
112,6,25.0,0.4,360,0.008547306874863077,19.142602781454723
113,6,25.0,0.4,360,0.010016687220979386,19.188406749566397
114,6,25.0,0.4,360,1.8220856554968334,18.918049665292106
115,6,25.0,0.4,360,0.02972684275497346,19.11306804815928
116,6,25.0,0.4,360,0.011012120109080552,19.16201779842377
117,6,25.0,0.4,360,0.01639672031911074,19.147951865196227
118,6,25.0,0.4,360,0.008968918731059752,19.117319067319233
119,6,25.0,0.4,360,0.027309584649993838,19.10131806532542
120,6,25.0,0.4,360,0.012794546975121581,19.16452370087306
121,7,50.0,0.4,360,0.01503080173524696,19.249536514282227
122,7,50.0,0.4,360,0.006938280604846852,19.150105182329813
123,7,50.0,0.4,360,0.03019092669385596,19.17676606575648
124,7,50.0,0.4,360,0.009288080340750002,19.152497299512227
125,7,50.0,0.4,360,0.01698866123982168,19.18367476860682
126,7,50.0,0.4,360,0.029175295105687008,19.068368033568063
127,7,50.0,0.4,360,0.013598232497364906,19.21756443579992
128,7,50.0,0.4,360,0.008629392061154232,19.17396016518275
129,7,50.0,0.4,360,0.02795177674416887,19.160761698087057
130,7,50.0,0.4,360,0.019776552421951685,19.13810921907425
131,7,50.0,0.4,360,0.01842624610674352,19.18672478199005
132,7,50.0,0.4,360,0.02938847368517189,19.17243462006251
133,7,50.0,0.4,360,0.0146222310340131,19.15872145096461
134,7,50.0,0.4,360,0.015590966034261506,19.163364466031393
135,7,50.0,0.4,360,0.009417137205590398,19.083046770095827
136,7,50.0,0.4,360,0.011617344964076124,19.21237779855728
137,7,50.0,0.4,360,0.01735336470606149,19.08767200311025
138,7,50.0,0.4,360,0.010545919211725593,19.15703970193863
139,7,50.0,0.4,360,0.025060406792567325,19.15052326520284
140,7,50.0,0.4,360,0.015364837917121697,19.16269708474477
141,8,100.0,0.4,360,9.856520465216237,18.941749183336892
142,8,100.0,0.4,360,0.4950491409895635,18.92098535299301
143,8,100.0,0.4,360,0.01985497275642757,19.16221661567688
144,8,100.0,0.4,360,0.029186771955654087,19.16172357002894
145,8,100.0,0.4,360,0.0230005522401652,19.158434383074443
146,8,100.0,0.4,360,0.033945935397934265,19.05089831749598
147,8,100.0,0.4,360,0.038687683309385566,19.070458952585856
148,8,100.0,0.4,360,0.009606425550330179,19.158161866664887
149,8,100.0,0.4,360,0.027002238730223855,19.14454711675644
150,8,100.0,0.4,360,0.00928306320600034,19.144251283009847
151,8,100.0,0.4,360,0.023887120451045806,19.1826531847318
152,8,100.0,0.4,360,0.03678436282844238,19.190470333894094
153,8,100.0,0.4,360,0.03378355205097472,19.191348584493003
154,8,100.0,0.4,360,0.029740667878709968,19.168557782967884
