agent_ID,parameters_ID,stockout,CV,order_cost,leadtime,mean_gap,time
1,1,10,0.4,80,0.0,0.03057783302487406,16.348936784267426
2,1,10,0.4,80,0.0,0.03868985624680382,16.37246374686559
3,1,10,0.4,80,0.0,67.64417899895251,16.283139252662657
4,1,10,0.4,80,0.0,0.03274871631994476,16.340531667073567
5,1,10,0.4,80,0.0,0.026961347441402758,16.30453423659007
6,1,10,0.4,80,0.0,0.04357733250735442,16.296069331963857
7,1,10,0.4,80,0.0,0.030368817350819356,16.36835325161616
8,1,10,0.4,80,0.0,0.029823481824638638,16.32773156960805
9,1,10,0.4,80,0.0,0.030649200122132913,16.4283238808314
10,1,10,0.4,80,0.0,0.03327688088821315,16.552285134792328
11,1,10,0.4,80,0.0,0.03154502414259075,16.458864231904347
12,1,10,0.4,80,0.0,0.029361529363222658,16.419864563147225
13,1,10,0.4,80,0.0,0.027004160856232622,16.481507980823515
14,1,10,0.4,80,0.0,0.04866632665109888,16.528469264507294
15,1,10,0.4,80,0.0,0.04304591876334295,16.477859083811442
16,1,10,0.4,80,0.0,0.025528158196655444,16.495099298159282
17,1,10,0.4,80,0.0,0.04777442952577287,16.437249584992728
18,1,10,0.4,80,0.0,0.027645558877890594,16.345774217446646
19,1,10,0.4,80,0.0,0.025931456590269575,16.231246117750803
20,1,10,0.4,80,0.0,67.65229130020047,16.140041049321493
21,2,10,0.4,80,1.0,0.049281513443656666,16.39501409928004
22,2,10,0.4,80,1.0,0.05146190722026523,16.319664069016774
23,2,10,0.4,80,1.0,0.03735655442616576,16.2781241496404
24,2,10,0.4,80,1.0,1.6790960410131268,16.315230298042298
25,2,10,0.4,80,1.0,0.049412855216180905,16.32556326786677
26,2,10,0.4,80,1.0,0.035148201175882736,16.294881252447762
27,2,10,0.4,80,1.0,0.036216914421739375,16.367751681804656
28,2,10,0.4,80,1.0,0.04260198966449922,16.311403234799702
29,2,10,0.4,80,1.0,0.0446475571257424,16.402988715966544
30,2,10,0.4,80,1.0,0.050352933319328226,16.424059200286866
31,2,10,0.4,80,1.0,62.809289544460384,16.205110867818195
32,2,10,0.4,80,1.0,62.80938800130071,16.246712668736777
33,2,10,0.4,80,1.0,0.15428891608223916,16.35711499849955
34,2,10,0.4,80,1.0,1.3262797121874574,16.267108484109244
35,2,10,0.4,80,1.0,2.7317538239342922,16.322747083504996
36,2,10,0.4,80,1.0,0.044213432387757594,16.283131766319276
37,2,10,0.4,80,1.0,0.06902698398543973,16.264057819048563
38,2,10,0.4,80,1.0,0.034521244539921586,16.34109074672063
39,2,10,0.4,80,1.0,0.08863881330688943,16.37278449932734
40,2,10,0.4,80,1.0,1.2095046305792074,16.312206252415976
